Name,Description,Time,Posting-Time
Software Engineer,"Design and implement features, debug and fix issues, improve tests and benchmarks, create documentation, engage with the community, collaborate with a distributed team, and consistently deliver robust code to production.",Full-Time,30+ days ago
Software Engineer,"Work in Python and Golang to design and deliver open source software operations code. Work with the entire Linux stack, from kernel, networking, storage, to applications. Learn to think rigorously about application and infrastructure reliability.",Full-Time,30+ days ago
Software Engineer,"Develop and operate backend services, write clean web service APIs, implement new features and enhancements, review code and technical designs produced by other engineers. Work remotely with global travel.",Full-Time,30+ days ago
Software Engineer,"Providing support in abuse investigations on our platform, helping identify sources and causes of incidents, and proposing ideas to mitigate their impact.",Full-Time,6 days ago
"Senior Software Engineer, Backend","Collaborate with cross-functional teams to design and document scalable solutions. Write secure, maintainable code to power the platform. Build and make scalable design choices for API interfaces. Mentor and learn from developers within the engineeri..",Full-Time,30+ days ago
Software Engineer - Backend,Design and develop scalable solutions for new feature development. Write secure and maintainable code. Launch and support features used by the industry and its partners. Lead code reviews and guide software architecture decisions.,Full-Time,30+ days ago
"Software Engineer, Machine Learning Operations","Design, develop and deploy MLOps infrastructure and pipelines for AI/ML model training and inference. Implement best MLOps practices, collaborate with cross-functional teams, and mentor junior team members.",Full-Time,2 weeks ago
Senior Solutions Engineer - Full Stack,"Collaborate with several cross functional teams to design and document scalable solutions. Write secure, maintainable code that powers the platform that provides real time visibility into company's assets. Build and make scalable design choices for...",Full-Time,2 weeks ago
Senior Solutions Engineer - Integrations,"Collaborate with customers to understand their integration needs, build custom solutions using middleware platforms, and foster relationships with IT departments to enhance the value of the platform while identifying new business opportunities.",Full-Time,11 days ago
Senior DevOps Engineer,"Define team direction and initiatives, strategize automated delivery pipelines, improve system performance, and mentor engineers to enhance development processes and foster collaboration within the engineering organization.",Full-Time,2 weeks ago
"QA Engineer, Embedded","Develop and execute test plans for embedded systems, perform manual and automated testing, collaborate with development teams to ensure quality, and maintain comprehensive test documentation to support product reliability and performance.",Alternative Schedule,8 days ago
Software Engineer - Data Platform,"Design and develop scalable distributed systems and frameworks for data management, address fault-tolerance and high availability issues, collaborate with engineers across teams, participate in all aspects of software development life cycle.",Full-Time,2 weeks ago
Software Engineer - Big Data,"Collaborate with engineers across teams to identify and deliver cross-functional features. Participate in all aspects of the software development life cycle, from design to implementation and delivery.",Full-Time,30+ days ago
C++ Graphics and Windowing System Software Engineer,"Design and implement features across the stack. Assist in debugging, tracking down and fixing issues. Improve tests and performance benchmarks to catch issues early. Create documentation to enhance the developer experience. Engage with the community.",Full-Time,30+ days ago
